dataset,model,method,detector,is_viyog,T3
GTSRB,resnet50,ViyogD_hf_dorm,Viyog-HF,True,0.8561
GTSRB,resnet50,MSP,MSP,False,0.958
GTSRB,resnet50,MaxLogit,MaxLogit,False,0.9606
GTSRB,resnet50,Energy,Energy,False,0.9483
GTSRB,resnet50,Entropy,Entropy,False,0.959
GTSRB,resnet50,GEN,GEN,False,0.9574
GTSRB,resnet50,KLMatching,KL-Matching,False,0.9478
GTSRB,densenet121,Viyog_Linf,Viyog-L∞ (norm baseline),True,0.6316
GTSRB,densenet121,ViyogD_tv_dorm,Viyog-D (TV),True,0.8561
GTSRB,densenet121,ViyogD_hf_dorm,Viyog-HF,True,0.7748
GTSRB,densenet121,MSP,MSP,False,0.9565
GTSRB,densenet121,MaxLogit,MaxLogit,False,0.965
GTSRB,densenet121,Energy,Energy,False,0.9663
GTSRB,densenet121,Entropy,Entropy,False,0.9605
GTSRB,densenet121,GEN,GEN,False,0.9598
GTSRB,densenet121,KLMatching,KL-Matching,False,0.9532
GTSRB,convnextv2_base,Viyog_Linf,Viyog-L∞ (norm baseline),True,0.6727
GTSRB,convnextv2_base,ViyogD_tv_dorm,Viyog-D (TV),True,0.7219
GTSRB,convnextv2_base,ViyogD_hf_dorm,Viyog-HF,True,0.6179
GTSRB,convnextv2_base,MSP,MSP,False,0.8568
GTSRB,convnextv2_base,MaxLogit,MaxLogit,False,0.8434
GTSRB,convnextv2_base,Energy,Energy,False,0.8415
GTSRB,convnextv2_base,Entropy,Entropy,False,0.8608
GTSRB,convnextv2_base,GEN,GEN,False,0.8599
GTSRB,convnextv2_base,KLMatching,KL-Matching,False,0.8105
GTSRB,vit_base,Viyog_Linf,Viyog-L∞ (norm baseline),True,0.6163
GTSRB,vit_base,ViyogD_tv_dorm,Viyog-D (TV),True,0.5898
GTSRB,vit_base,ViyogD_hf_dorm,Viyog-HF,True,0.5367
GTSRB,vit_base,MSP,MSP,False,0.7621
GTSRB,vit_base,MaxLogit,MaxLogit,False,0.7544
GTSRB,vit_base,Energy,Energy,False,0.7485
GTSRB,vit_base,Entropy,Entropy,False,0.7657
GTSRB,vit_base,GEN,GEN,False,0.7539
GTSRB,vit_base,KLMatching,KL-Matching,False,0.7083
GTSRB,swin_tiny,Viyog_Linf,Viyog-L∞ (norm baseline),True,0.6627
GTSRB,swin_tiny,ViyogD_tv_dorm,Viyog-D (TV),True,0.896
GTSRB,swin_tiny,ViyogD_hf_dorm,Viyog-HF,True,0.8187
GTSRB,swin_tiny,MSP,MSP,False,0.7716
GTSRB,swin_tiny,MaxLogit,MaxLogit,False,0.7771
GTSRB,swin_tiny,Energy,Energy,False,0.7782
GTSRB,swin_tiny,Entropy,Entropy,False,0.7835
GTSRB,swin_tiny,GEN,GEN,False,0.7857
GTSRB,swin_tiny,KLMatching,KL-Matching,False,0.7081
GTSRB,mobilenetv3_l,Viyog_Linf,Viyog-L∞ (norm baseline),True,0.54
GTSRB,mobilenetv3_l,ViyogD_tv_dorm,Viyog-D (TV),True,0.7798
GTSRB,mobilenetv3_l,ViyogD_hf_dorm,Viyog-HF,True,0.7008
GTSRB,mobilenetv3_l,MSP,MSP,False,0.6988
GTSRB,mobilenetv3_l,MaxLogit,MaxLogit,False,0.6935
GTSRB,mobilenetv3_l,Energy,Energy,False,0.6583
GTSRB,mobilenetv3_l,Entropy,Entropy,False,0.6457
GTSRB,mobilenetv3_l,GEN,GEN,False,0.6237
GTSRB,mobilenetv3_l,KLMatching,KL-Matching,False,0.7464
