model,signature,kind,T3,detector,is_viyog,dataset
densenet161,Viyog_D*(tv|p5|adapt),Texture,0.636,Viyog-D (TV),True,CIFAR-100
densenet161,G_tv_mean,Texture,0.932,TV (mean),False,CIFAR-100
densenet161,G_hf_mean,Texture,0.984,Viyog-HF,True,CIFAR-100
densenet161,A_inf_norm,Texture,0.698,raw L∞,False,CIFAR-100
densenet169,Viyog_D*(tv|p5|adapt),Texture,0.546,Viyog-D (TV),True,CIFAR-100
densenet169,G_tv_mean,Texture,0.929,TV (mean),False,CIFAR-100
densenet169,G_hf_mean,Texture,0.978,Viyog-HF,True,CIFAR-100
densenet169,A_inf_norm,Texture,0.711,raw L∞,False,CIFAR-100
densenet201,Viyog_D*(tv|p5|adapt),Texture,0.602,Viyog-D (TV),True,CIFAR-100
densenet201,G_tv_mean,Texture,0.925,TV (mean),False,CIFAR-100
densenet201,G_hf_mean,Texture,0.978,Viyog-HF,True,CIFAR-100
densenet201,A_inf_norm,Texture,0.712,raw L∞,False,CIFAR-100
edgenext_small,Viyog_D*(tv|p5|adapt),Texture,0.751,Viyog-D (TV),True,CIFAR-100
edgenext_small,G_tv_mean,Texture,0.89,TV (mean),False,CIFAR-100
edgenext_small,G_hf_mean,Texture,0.971,Viyog-HF,True,CIFAR-100
edgenext_small,A_inf_norm,Texture,0.613,raw L∞,False,CIFAR-100
efficientnetv2_l,Viyog_D*(tv|p5|adapt),Texture,0.716,Viyog-D (TV),True,CIFAR-100
efficientnetv2_l,G_tv_mean,Texture,0.75,TV (mean),False,CIFAR-100
efficientnetv2_l,G_hf_mean,Texture,0.841,Viyog-HF,True,CIFAR-100
efficientnetv2_l,A_inf_norm,Texture,0.706,raw L∞,False,CIFAR-100
efficientvit_b1,Viyog_D*(tv|p5|adapt),Texture,0.679,Viyog-D (TV),True,CIFAR-100
efficientvit_b1,G_tv_mean,Texture,0.743,TV (mean),False,CIFAR-100
efficientvit_b1,G_hf_mean,Texture,0.865,Viyog-HF,True,CIFAR-100
efficientvit_b1,A_inf_norm,Texture,0.58,raw L∞,False,CIFAR-100
effnet_lite0,Viyog_D*(tv|p5|adapt),Texture,0.735,Viyog-D (TV),True,CIFAR-100
effnet_lite0,G_tv_mean,Texture,0.794,TV (mean),False,CIFAR-100
effnet_lite0,G_hf_mean,Texture,0.899,Viyog-HF,True,CIFAR-100
effnet_lite0,A_inf_norm,Texture,0.567,raw L∞,False,CIFAR-100
fastvit_sa12,Viyog_D*(tv|p5|adapt),Texture,0.757,Viyog-D (TV),True,CIFAR-100
fastvit_sa12,G_tv_mean,Texture,0.854,TV (mean),False,CIFAR-100
fastvit_sa12,G_hf_mean,Texture,0.936,Viyog-HF,True,CIFAR-100
fastvit_sa12,A_inf_norm,Texture,0.567,raw L∞,False,CIFAR-100
mobilenetv3_l,Viyog_D*(tv|p5|adapt),Texture,0.567,Viyog-D (TV),True,CIFAR-100
mobilenetv3_l,G_tv_mean,Texture,0.781,TV (mean),False,CIFAR-100
mobilenetv3_l,G_hf_mean,Texture,0.892,Viyog-HF,True,CIFAR-100
mobilenetv3_l,A_inf_norm,Texture,0.675,raw L∞,False,CIFAR-100
mobilenetv4_m,Viyog_D*(tv|p5|adapt),Texture,0.767,Viyog-D (TV),True,CIFAR-100
mobilenetv4_m,G_tv_mean,Texture,0.644,TV (mean),False,CIFAR-100
mobilenetv4_m,G_hf_mean,Texture,0.749,Viyog-HF,True,CIFAR-100
mobilenetv4_m,A_inf_norm,Texture,0.585,raw L∞,False,CIFAR-100
resnet101,Viyog_D*(tv|p5|adapt),Texture,0.665,Viyog-D (TV),True,CIFAR-100
resnet101,G_tv_mean,Texture,0.892,TV (mean),False,CIFAR-100
resnet101,G_hf_mean,Texture,0.971,Viyog-HF,True,CIFAR-100
resnet101,A_inf_norm,Texture,0.621,raw L∞,False,CIFAR-100
resnet152,Viyog_D*(tv|p5|adapt),Texture,0.618,Viyog-D (TV),True,CIFAR-100
resnet152,G_tv_mean,Texture,0.891,TV (mean),False,CIFAR-100
resnet152,G_hf_mean,Texture,0.969,Viyog-HF,True,CIFAR-100
resnet152,A_inf_norm,Texture,0.643,raw L∞,False,CIFAR-100
resnet50,Viyog_D*(tv|p5|adapt),Texture,0.546,Viyog-D (TV),True,CIFAR-100
resnet50,G_tv_mean,Texture,0.862,TV (mean),False,CIFAR-100
resnet50,G_hf_mean,Texture,0.953,Viyog-HF,True,CIFAR-100
resnet50,A_inf_norm,Texture,0.628,raw L∞,False,CIFAR-100
swin_tiny,Viyog_D*(tv|p5|adapt),Texture,0.608,Viyog-D (TV),True,CIFAR-100
swin_tiny,G_tv_mean,Texture,0.861,TV (mean),False,CIFAR-100
swin_tiny,G_hf_mean,Texture,0.938,Viyog-HF,True,CIFAR-100
swin_tiny,A_inf_norm,Texture,0.697,raw L∞,False,CIFAR-100
vit_base,Viyog_D*(tv|p5|adapt),Texture,0.786,Viyog-D (TV),True,CIFAR-100
vit_base,G_tv_mean,Texture,0.775,TV (mean),False,CIFAR-100
vit_base,G_hf_mean,Texture,0.782,Viyog-HF,True,CIFAR-100
vit_base,A_inf_norm,Texture,0.557,raw L∞,False,CIFAR-100
convnextv2_base,Viyog_D*(tv|p5|adapt),Far,0.967,Viyog-D (TV),True,CIFAR-10
convnextv2_base,G_tv_mean,Far,0.939,TV (mean),False,CIFAR-10
convnextv2_base,G_hf_mean,Far,0.881,Viyog-HF,True,CIFAR-10
convnextv2_base,A_inf_norm,Far,0.504,raw L∞,False,CIFAR-10
densenet121,Viyog_D*(tv|p5|adapt),Far,0.991,Viyog-D (TV),True,CIFAR-10
densenet121,G_tv_mean,Far,0.972,TV (mean),False,CIFAR-10
densenet121,G_hf_mean,Far,0.931,Viyog-HF,True,CIFAR-10
densenet121,A_inf_norm,Far,0.577,raw L∞,False,CIFAR-10
resnet50,Viyog_D*(tv|p5|adapt),Far,0.997,Viyog-D (TV),True,CIFAR-10
